"","h24","bookmark_choose_h24","num_windows_h24","num_tabs_h24"
"1",0,55482,1.20910879538321,5.10395673907898
"2",1,51616,1.20129237604398,4.83222388365579
"3",2,47078,1.20839603712064,4.90333688654795
"4",3,41916,1.26135927477364,4.97810017423768
"5",4,39218,1.20660053575595,6.732043321462
"6",5,37876,1.2555823197797,4.95951157175733
"7",6,39748,1.25168420255847,5.67283757042292
"8",7,45831,1.21883524904215,4.94304469987229
"9",8,48497,1.22495245021258,5.12836111732677
"10",9,53447,1.21628867992061,5.14507315697567
"11",10,55487,1.20951243714856,5.07903939487869
"12",11,61347,1.32915936884852,5.10850628516515
"13",12,67392,1.22867278775495,4.94250382343374
"14",13,77185,1.21315151177901,4.83943915077201
"15",14,84760,1.22003052183222,4.99527139375441
"16",15,88984,1.20189468230766,4.85263664285979
"17",16,90695,1.19768132080168,5.0003240435927
"18",17,92603,1.21070470484921,5.4156155641368
"19",18,89597,1.20335776299118,4.99415063063513
"20",19,92216,1.21038604918491,4.99371140872793
"21",20,87684,1.20656280352243,4.99244585287359
"22",21,79458,1.21737328711507,5.02916267670178
"23",22,71345,1.23466466725481,5.12477307965795
"24",23,63642,1.2197210955777,5.10041343376565
